ID,YEAR_INSTALLED,FAILURE_STATE,Altitude (m),HQ_ADDRESS_ZIP,PIPE - 1 DIA,PIPE - 2 DIA,Service Time(Years),FITTING_MATERIAL_TEXT,PIPE - 1 MATERIAL,PIPE - 2 MATERIAL,MF_INVOLVED_TEXT,MF_TYPE_TEXT,LEAK_LOCATION_A_TEXT,LEAK_LOCATION_B_TEXT,LEAK_LOCATION_C_TEXT,MANUFACTURE,CAUSE OF LEAK,LEAK_OCCURRED_TEXT
58016,1972,AK,0.305,99519,1.5,1,39,STEEL,STEEL,STEEL,NUT FOLLOWER,TAPPING TEE,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,CONTINENTAL INDUSTRIES,NATURAL FORCES,PULLED OUT
58359,1972,MO,"160 
",63101,1.5,1.25,39,COMBINATION PLASTIC AND STEEL,COPPER,PLASTIC,OTHER COMPRESSION TYPE FITTING,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,AMP,EQUIPMENT,LEAKED THROUGH SEAL
52012,1973,MI,"302 
",49201,1.5,1,39,PLASTIC,PLASTIC,PLASTIC,NUT FOLLOWER,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,EQUIPMENT,PULLED OUT
24471,1976,GA,"285 
",30309,1.5,0.75,39,STEEL,STEEL,PLASTIC,BOLTED,TRANSITION FITTING,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,CENTRAL PLASTICS (GEORG FISCHER CENTRAL PLASTICS; CENTRAL),MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH SEAL
9895,1978,WI,"190 
",53203,1.5,0.75,39,STEEL,STEEL,PLASTIC,OTHER COMPRESSION TYPE FITTING,COUPLING,BELOWGROUND,OUTSIDE,MAIN-TO-MAIN,"DRESSER (DRESSER MANUFACTURING, DRESSER PIPING SPECIALTIES)",MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH SEAL
44004,1974,IN,"221 
",46202,1.5,0.75,39,STEEL,STEEL,STEEL,NUT FOLLOWER,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,"DRESSER (DRESSER MANUFACTURING, DRESSER PIPING SPECIALTIES)",EQUIPMENT,LEAKED THROUGH SEAL
29851,1976,CO,"1593 
",80202,1.5,1,39,STEEL,PLASTIC,STEEL,NUT FOLLOWER,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,EQUIPMENT,LEAKED THROUGH SEAL
14610,1977,PA,"124 
",19612,1.5,0.75,39,STEEL,STEEL,STEEL,OTHER COMPRESSION TYPE FITTING,ADAPTER,ABOVEGROUND,INSIDE,SERVICE-TO-SERVICE,OTHER,CORROSION,LEAKED THROUGH BODY
30568,1976,NV,"748 
",89150,1.5,0.75,39,PLASTIC,PLASTIC,PLASTIC,OTHER COMPRESSION TYPE FITTING,SERVICE OR MAIN TEE,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,AMP (AMP FIT),MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH BODY
26526,1976,NM,"1632 
",87109,1.5,1.25,39,STEEL,STEEL,STEEL,BOLTED,SERVICE OR MAIN TEE,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,"DRESSER (DRESSER MANUFACTURING, DRESSER PIPING SPECIALTIES)",EQUIPMENT,LEAKED THROUGH SEAL
50264,1974,CT,"22 
",6037,1.5,0.75,39,STEEL,STEEL,STEEL,BOLTED,COUPLING,BELOWGROUND,OUTSIDE,MAIN-TO-MAIN,"DRESSER (DRESSER MANUFACTURING, DRESSER PIPING SPECIALTIES)",EQUIPMENT,LEAKED THROUGH SEAL
52726,1973,CA,"9 
",90806,1.5,1,39,STEEL,STEEL,PLASTIC,NUT FOLLOWER,TRANSITION FITTING,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,MUELLER,OTHER,LEAKED THROUGH SEAL
58014,1972,AK,0.305,99519,1.5,0.75,39,STEEL,STEEL,STEEL,NUT FOLLOWER,TAPPING TEE,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,CONTINENTAL INDUSTRIES,NATURAL FORCES,PULLED OUT
51952,1973,MI,"302 
",49201,1.5,1.25,39,BRASS,COPPER,STEEL,NUT FOLLOWER,COUPLING,ABOVEGROUND,OUTSIDE,METER SET,UNKNOWN,NATURAL FORCES,PULLED OUT
3771,1978,OH,"255 
",43055,1.5,0.75,39,STEEL,STEEL,STEEL,NUT FOLLOWER,RISER,BELOWGROUND,OUTSIDE,METER SET,UNKNOWN,CORROSION,LEAKED THROUGH BODY
45975,1974,MO,"160 
",63101,1.5,0.75,39,PLASTIC,PLASTIC,PLASTIC,OTHER COMPRESSION TYPE FITTING,SERVICE OR MAIN TEE,BELOWGROUND,OUTSIDE,MAIN-TO-MAIN,OTHER,EQUIPMENT,LEAKED THROUGH SEAL
