ID,YEAR_INSTALLED,FAILURE_STATE,Altitude (m),HQ_ADDRESS_ZIP,PIPE - 1 DIA,PIPE - 2 DIA,Service Time(Years),FITTING_MATERIAL_TEXT,PIPE - 1 MATERIAL,PIPE - 2 MATERIAL,MF_INVOLVED_TEXT,MF_TYPE_TEXT,LEAK_LOCATION_A_TEXT,LEAK_LOCATION_B_TEXT,LEAK_LOCATION_C_TEXT,MANUFACTURE,CAUSE OF LEAK,LEAK_OCCURRED_TEXT
43809,2013,MD,"38 
",21201,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,PLASTIC,NUT FOLLOWER,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,CONTINENTAL (CONTINENTAL INDUSTRIES),INCORRECT OPERATION,PULLED OUT
40830,2014,NY,"81 
",14649,8,6,0,PLASTIC,PLASTIC,PLASTIC,STAB,RISER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION ,MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH SEAL
7717,2017,VA,"8 
",23452,8,6,0,PLASTIC,PLASTIC,PLASTIC,STAB,ADAPTER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,INCORRECT OPERATION,LEAKED THROUGH SEAL
12520,2016,ID,"837 
",83709,8,6,0,PLASTIC,PLASTIC,PLASTIC,STAB,SERVICE OR MAIN TEE,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,CONTINENTAL (CONTINENTAL INDUSTRIES),INCORRECT OPERATION,LEAKED THROUGH SEAL
38656,2014,IL,"259 
",60507,8,6,0,PLASTIC,PLASTIC,STEEL,OTHER COMPRESSION TYPE FITTING,ADAPTER,ABOVEGROUND,OUTSIDE,METER SET,UNKNOWN,OTHER,LEAKED THROUGH BODY
37472,2014,KY,"142 
",40202,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,STEEL,STAB,RISER,ABOVEGROUND,OUTSIDE,METER SET,PERFECTION,INCORRECT OPERATION,LEAKED THROUGH BODY
35047,2015,AZ,"726 
",85701,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,PLASTIC,OTHER COMPRESSION TYPE FITTING,RISER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,CENTRAL PLASTICS (GEORG FISCHER CENTRAL PLASTICS; CENTRAL),MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH SEAL
61650,2011,WA,"701 
",98009,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,STEEL,NUT FOLLOWER,ADAPTER,ABOVEGROUND,OUTSIDE,METER SET,CONTINENTAL,INCORRECT OPERATION,LEAKED THROUGH SEAL
43800,2013,GA,"285 
",30309,8,6,0,PLASTIC,PLASTIC,PLASTIC,STAB,VALVE,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION ,EXCAVATION DAMAGE,LEAKED THROUGH SEAL
43930,2013,NY,"55 
",12601,8,6,0,BRASS,PLASTIC,PLASTIC,STAB,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,INCORRECT OPERATION,LEAKED THROUGH SEAL
2965,2017,KY,"142 
",40202,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,STEEL,STAB,RISER,BELOWGROUND,OUTSIDE,METER SET,AMERICAN (AMERICAN METER; ELSTER AMERICAN METER),MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH SEAL
26784,2015,MO,"160 
",63101,8,6,0,PLASTIC,PLASTIC,COPPER,NUT FOLLOWER,COUPLING,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,OTHER,OTHER,LEAKED THROUGH BODY
11186,2016,NY,"21 
",10003,8,6,0,PLASTIC,CAST/WROUGHT IRON,STEEL,STAB,VALVE,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,OTHER,CORROSION,LEAKED THROUGH SEAL
46083,2013,KY,"142 
",40202,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,STEEL,NUT FOLLOWER,RISER,ABOVEGROUND,OUTSIDE,METER SET,PERFECTION,MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH SEAL
26889,2015,MO,"160 
",63101,8,6,0,PLASTIC,PLASTIC,PLASTIC,NUT FOLLOWER,VALVE,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,OTHER,MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH BODY
61068,2011,SC,"66 
",29218,8,6,0,PLASTIC,PLASTIC,PLASTIC,STAB,TAPPING TEE,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,CONTINENTAL,INCORRECT OPERATION,LEAKED THROUGH SEAL
25027,2015,NY,"21 
",10003,8,6,0,BRASS,PLASTIC,PLASTIC,BOLTED,VALVE,ABOVEGROUND,INSIDE,MAIN-TO-MAIN,CENTRAL PLASTICS (GEORG FISCHER CENTRAL PLASTICS; CENTRAL),NATURAL FORCES,LEAKED THROUGH SEAL
51525,2012,NY,"21 
",10003,8,6,0,STEEL,PLASTIC,STEEL,OTHER COMPRESSION TYPE FITTING,VALVE,ABOVEGROUND,INSIDE,MAIN-TO-SERVICE,OTHER,EQUIPMENT,LEAKED THROUGH BODY
61476,2011,PA,"124 
",19612,8,6,0,PLASTIC,PLASTIC,PLASTIC,STAB,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,INCORRECT OPERATION,LEAKED THROUGH SEAL
35196,2014,MD,"38 
",21201,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,PLASTIC,NUT FOLLOWER,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,CONTINENTAL (CONTINENTAL INDUSTRIES),INCORRECT OPERATION,LEAKED THROUGH SEAL
13994,2016,AL,"197 
",35570,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,PLASTIC,STAB,RISER,BELOWGROUND,OUTSIDE,METER SET,PERFECTION,EQUIPMENT,LEAKED THROUGH SEAL
57227,2011,NY,"21 
",10003,8,6,0,PLASTIC,PLASTIC,PLASTIC,NUT FOLLOWER,OTHER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,DRESSER,EQUIPMENT,LEAKED THROUGH SEAL
35877,2014,NY,"21 
",10003,8,6,0,COMBINATION PLASTIC AND STEEL,STEEL,PLASTIC,STAB,ADAPTER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,OTHER,EQUIPMENT,LEAKED THROUGH SEAL
47268,2013,IL,"259 
",60507,8,6,0,STEEL,COPPER,COPPER,OTHER COMPRESSION TYPE FITTING,ADAPTER,ABOVEGROUND,OUTSIDE,METER SET,UNKNOWN,EQUIPMENT,LEAKED THROUGH SEAL
51352,2012,NY,"21 
",10003,8,6,0,STEEL,CAST/WROUGHT IRON,PLASTIC,NUT FOLLOWER,COUPLING,BELOWGROUND,OUTSIDE,MAIN-TO-MAIN,"DRESSER (DRESSER MANUFACTURING, DRESSER PIPING SPECIALTIES)",EQUIPMENT,LEAKED THROUGH BODY
44467,2013,NY,"21 
",10003,8,6,0,STEEL,PLASTIC,STEEL,STAB,ADAPTER,ABOVEGROUND,INSIDE,SERVICE-TO-SERVICE,"DRESSER (DRESSER MANUFACTURING, DRESSER PIPING SPECIALTIES)",EQUIPMENT,LEAKED THROUGH SEAL
12523,2016,ID,"837 
",83709,8,6,0,PLASTIC,PLASTIC,PLASTIC,STAB,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,CONTINENTAL (CONTINENTAL INDUSTRIES),INCORRECT OPERATION,LEAKED THROUGH SEAL
12363,2016,SC,"314 
",29640,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,PLASTIC,STAB,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,INCORRECT OPERATION,LEAKED THROUGH SEAL
35159,2014,GA,"285 
",30309,8,6,0,STEEL,PLASTIC,PLASTIC,STAB,ADAPTER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,EQUIPMENT,LEAKED THROUGH SEAL
6959,2017,CA,"86 
",90013,8,6,0,STEEL,PLASTIC,STEEL,NUT FOLLOWER,ADAPTER,ABOVEGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,INCORRECT OPERATION,LEAKED THROUGH SEAL
13859,2016,IL,"259 
",60507,8,6,0,STEEL,PLASTIC,STEEL,OTHER COMPRESSION TYPE FITTING,ADAPTER,ABOVEGROUND,OUTSIDE,METER SET,CHICAGO,EQUIPMENT,LEAKED THROUGH SEAL
51434,2012,NY,"21 
",10003,8,6,0,PLASTIC,PLASTIC,PLASTIC,OTHER COMPRESSION TYPE FITTING,VALVE,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,OTHER,LEAKED THROUGH BODY
40896,2014,SC,"62 
",29033,8,6,0,PLASTIC,PLASTIC,PLASTIC,STAB,RISER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,INCORRECT OPERATION,LEAKED THROUGH SEAL
39139,2014,CA,"5 
",94107,8,6,0,PLASTIC,PLASTIC,PLASTIC,OTHER COMPRESSION TYPE FITTING,RISER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH SEAL
12933,2016,KY,"142 
",40202,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,STEEL,STAB,RISER,ABOVEGROUND,OUTSIDE,METER SET,PERFECTION,MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH SEAL
10128,2017,MO,"160 
",63101,8,6,0,STEEL,PLASTIC,PLASTIC,NUT FOLLOWER,TAPPING TEE,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,NATURAL FORCES,LEAKED THROUGH SEAL
28589,2015,CA,"128 
",94583,8,6,0,PLASTIC,PLASTIC,PLASTIC,OTHER COMPRESSION TYPE FITTING,SERVICE OR MAIN TEE,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,INCORRECT OPERATION,LEAKED THROUGH SEAL
52143,2012,OH,"199 
",44103,8,6,0,STEEL,PLASTIC,STEEL,STAB,RISER,ABOVEGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,CORROSION,LEAKED THROUGH BODY
50775,2012,GA,"285 
",30309,8,6,0,STEEL,STEEL,STEEL,BOLTED,SERVICE OR MAIN TEE,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,UNKNOWN,EQUIPMENT,LEAKED THROUGH BODY
54155,2012,SD,"386 
",57350,8,6,0,PLASTIC,PLASTIC,PLASTIC,OTHER COMPRESSION TYPE FITTING,COUPLING,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,JM EAGLE US POLY,INCORRECT OPERATION,PULLED OUT
38263,2014,NY,"188 
",14221,8,6,0,PLASTIC,CAST/WROUGHT IRON,CAST/WROUGHT IRON,STAB,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,INCORRECT OPERATION,LEAKED THROUGH SEAL
41257,2014,PA,"124 
",19612,8,6,0,STEEL,PLASTIC,PLASTIC,STAB,TAPPING TEE,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,CORROSION,LEAKED THROUGH SEAL
58446,2011,MO,"160 
",63101,8,6,0,PLASTIC,PLASTIC,PLASTIC,NUT FOLLOWER,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,CONTINENTAL,EXCAVATION DAMAGE,LEAKED THROUGH BODY
12914,2016,KY,"142 
",40202,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,STEEL,OTHER COMPRESSION TYPE FITTING,RISER,ABOVEGROUND,OUTSIDE,METER SET,PERFECTION,MATERIAL OR WELDS/FUSIONS,PULLED OUT
11594,2016,MI,"302 
",49201,8,6,0,BRASS,COPPER,PLASTIC,NUT FOLLOWER,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,OTHER,PULLED OUT
10108,2017,MO,"160 
",63101,8,6,0,STEEL,PLASTIC,STEEL,NUT FOLLOWER,ADAPTER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,EXCAVATION DAMAGE,LEAKED THROUGH BODY
30329,2015,MI,"183 
",48060,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,PLASTIC,OTHER COMPRESSION TYPE FITTING,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,"DRESSER (DRESSER MANUFACTURING, DRESSER PIPING SPECIALTIES)",MATERIAL OR WELDS/FUSIONS,PULLED OUT
34969,2015,TX,"177 
",75240,8,6,0,PLASTIC,PLASTIC,PLASTIC,OTHER COMPRESSION TYPE FITTING,TAPPING TEE,BELOWGROUND,OUTSIDE,MAIN-TO-MAIN,UNKNOWN,MATERIAL OR WELDS/FUSIONS,PULLED OUT
59682,2010,ME,"80 
",4104,8,4,1,STEEL,PLASTIC,PLASTIC,BOLTED,COUPLING,BELOWGROUND,OUTSIDE,MAIN-TO-MAIN,DRESSER,OTHER,LEAKED THROUGH SEAL
341,2016,MD,"38 
",21201,8,6,1,COMBINATION PLASTIC AND STEEL,PLASTIC,PLASTIC,NUT FOLLOWER,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,CONTINENTAL (CONTINENTAL INDUSTRIES),INCORRECT OPERATION,PULLED OUT
47751,2012,CA,"5 
",94107,8,6,1,PLASTIC,PLASTIC,PLASTIC,OTHER COMPRESSION TYPE FITTING,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,INCORRECT OPERATION,LEAKED THROUGH SEAL
35250,2013,MA,"90 
",1581,8,6,1,PLASTIC,PLASTIC,PLASTIC,NUT FOLLOWER,VALVE,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,INCORRECT OPERATION,LEAKED THROUGH SEAL
10187,2016,MO,"160 
",63101,8,6,1,PLASTIC,PLASTIC,PLASTIC,STAB,RISER,ABOVEGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,OTHER OUTSIDE FORCE DAMAGE,LEAKED THROUGH BODY
38383,2013,NJ,"12 
",7719,8,4,1,COMBINATION PLASTIC AND STEEL,PLASTIC,STEEL,NUT FOLLOWER,SERVICE OR MAIN TEE,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,MUELLER,INCORRECT OPERATION,PULLED OUT
55831,2011,MO,"381 
",65801,8,6,1,COMBINATION PLASTIC AND STEEL,STEEL,PLASTIC,STAB,OTHER,ABOVEGROUND,OUTSIDE,METER SET,ELSTER PERFECTION,EQUIPMENT,LEAKED THROUGH SEAL
37493,2013,KY,"142 
",40202,8,6,1,COMBINATION PLASTIC AND STEEL,PLASTIC,STEEL,STAB,RISER,ABOVEGROUND,OUTSIDE,METER SET,PERFECTION ,MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH SEAL
30395,2014,CA,"86 
",90013,8,4,1,PLASTIC,PLASTIC,STEEL,OTHER COMPRESSION TYPE FITTING,RISER,ABOVEGROUND,OUTSIDE,SERVICE-TO-SERVICE,OTHER,OTHER OUTSIDE FORCE DAMAGE,LEAKED THROUGH SEAL
47591,2012,CA,"5 
",94107,8,4,1,PLASTIC,PLASTIC,PLASTIC,STAB,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,INCORRECT OPERATION,LEAKED THROUGH SEAL
12525,2015,ID,"837 
",83709,8,4,1,PLASTIC,PLASTIC,PLASTIC,STAB,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,CONTINENTAL (CONTINENTAL INDUSTRIES),INCORRECT OPERATION,LEAKED THROUGH SEAL
10177,2016,MO,"160 
",63101,8,4,1,PLASTIC,PLASTIC,STEEL,STAB,RISER,ABOVEGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,OTHER OUTSIDE FORCE DAMAGE,LEAKED THROUGH BODY
40711,2013,NH,"54 
",3079,8,6,1,STEEL,STEEL,STEEL,STAB,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,EQUIPMENT,LEAKED THROUGH SEAL
37473,2013,KY,"142 
",40202,8,6,1,COMBINATION PLASTIC AND STEEL,PLASTIC,STEEL,NUT FOLLOWER,RISER,ABOVEGROUND,OUTSIDE,METER SET,NORMAC (NORTON MCMURRAY),EQUIPMENT,PULLED OUT
11981,2015,MI,"302 
",49201,8,6,1,BRASS,COPPER,PLASTIC,NUT FOLLOWER,SERVICE OR MAIN TEE,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,UNKNOWN,NATURAL FORCES,PULLED OUT
1297,2016,NY,"21 
",10003,8,6,1,COMBINATION PLASTIC AND STEEL,PLASTIC,COPPER,NUT FOLLOWER,ADAPTER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,CENTRAL PLASTICS (GEORG FISCHER CENTRAL PLASTICS; CENTRAL),EQUIPMENT,LEAKED THROUGH SEAL
11831,2015,MI,"302 
",49201,8,6,1,PLASTIC,PLASTIC,PLASTIC,NUT FOLLOWER,SERVICE OR MAIN TEE,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,UNKNOWN,NATURAL FORCES,LEAKED THROUGH BODY
11426,2015,NY,"21 
",10003,8,6,1,PLASTIC,PLASTIC,COPPER,STAB,VALVE,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,EQUIPMENT,LEAKED THROUGH BODY
25466,2014,NY,"21 
",10003,8,4,1,STEEL,PLASTIC,CAST/WROUGHT IRON,BOLTED,COUPLING,BELOWGROUND,OUTSIDE,MAIN-TO-MAIN,"DRESSER (DRESSER MANUFACTURING, DRESSER PIPING SPECIALTIES)",EQUIPMENT,LEAKED THROUGH SEAL
55131,2011,VA,"298 
",24016,8,6,1,COMBINATION PLASTIC AND STEEL,STEEL,PLASTIC,NUT FOLLOWER,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,EQUIPMENT,LEAKED THROUGH SEAL
47303,2012,IL,"259 
",60507,8,4,1,STEEL,PLASTIC,STEEL,OTHER COMPRESSION TYPE FITTING,ADAPTER,ABOVEGROUND,OUTSIDE,METER SET,UNKNOWN,EQUIPMENT,LEAKED THROUGH SEAL
47506,2012,OR,"12 
",97209,8,4,1,STEEL,PLASTIC,STEEL,NUT FOLLOWER,RISER,ABOVEGROUND,OUTSIDE,MAIN-TO-SERVICE,CHICAGO,INCORRECT OPERATION,LEAKED THROUGH SEAL
30362,2014,MI,"183 
",48060,8,6,1,PLASTIC,PLASTIC,PLASTIC,STAB,OTHER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,INCORRECT OPERATION,LEAKED THROUGH SEAL
30039,2014,NH,"109 
",3053,8,4,1,STEEL,CAST/WROUGHT IRON,CAST/WROUGHT IRON,BOLTED,SLEEVE,BELOWGROUND,OUTSIDE,MAIN-TO-MAIN,UNKNOWN,OTHER,LEAKED THROUGH SEAL
25508,2014,NY,"21 
",10003,8,4,1,STEEL,CAST/WROUGHT IRON,PLASTIC,BOLTED,COUPLING,BELOWGROUND,OUTSIDE,MAIN-TO-MAIN,"DRESSER (DRESSER MANUFACTURING, DRESSER PIPING SPECIALTIES)",EQUIPMENT,LEAKED THROUGH SEAL
35199,2013,MD,"38 
",21201,8,6,1,COMBINATION PLASTIC AND STEEL,PLASTIC,PLASTIC,NUT FOLLOWER,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,CONTINENTAL (CONTINENTAL INDUSTRIES),INCORRECT OPERATION,LEAKED THROUGH SEAL
54368,2011,CA,"5 
",94107,8,6,1,PLASTIC,PLASTIC,PLASTIC,STAB,SERVICE OR MAIN TEE,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION ,INCORRECT OPERATION,LEAKED THROUGH SEAL
40831,2013,NY,"81 
",14649,8,4,1,PLASTIC,PLASTIC,STEEL,STAB,RISER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION ,INCORRECT OPERATION,LEAKED THROUGH SEAL
29697,2014,NC,"208 
",28210,8,6,1,PLASTIC,PLASTIC,PLASTIC,OTHER COMPRESSION TYPE FITTING,RISER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,EQUIPMENT,LEAKED THROUGH SEAL
8161,2016,MD,"25 
",20080,8,6,1,STEEL,COPPER,COPPER,NUT FOLLOWER,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH SEAL
27632,2014,NY,"188 
",14221,8,6,1,PLASTIC,STEEL,PLASTIC,OTHER COMPRESSION TYPE FITTING,RISER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,EQUIPMENT,LEAKED THROUGH SEAL
43960,2012,DE,"16 
",19904,8,4,1,PLASTIC,PLASTIC,PLASTIC,OTHER COMPRESSION TYPE FITTING,SERVICE OR MAIN TEE,BELOWGROUND,OUTSIDE,MAIN-TO-MAIN,CENTRAL PLASTICS (GEORG FISCHER CENTRAL PLASTICS; CENTRAL),INCORRECT OPERATION,LEAKED THROUGH BODY
37549,2013,KY,"142 
",40202,8,4,1,COMBINATION PLASTIC AND STEEL,PLASTIC,STEEL,STAB,RISER,ABOVEGROUND,OUTSIDE,METER SET,PERFECTION ,MATERIAL OR WELDS/FUSIONS,PULLED OUT
61330,2010,NV,"651 
",89102,8,4,1,PLASTIC,PLASTIC,PLASTIC,NUT FOLLOWER,ADAPTER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,CONTINENTAL INDUSTRIES,MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH BODY
16378,2015,VA,"8 
",23452,8,4,1,PLASTIC,PLASTIC,PLASTIC,STAB,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,INCORRECT OPERATION,PULLED OUT
54962,2011,MI,"247 
",49765,8,6,1,COMBINATION PLASTIC AND STEEL,PLASTIC,PLASTIC,STAB,SERVICE OR MAIN TEE,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,AMERICAN (AMERICAN METER; ELSTER AMERICAN METER),OTHER,LEAKED THROUGH SEAL
58005,2010,NJ,"95 
",7922,8,4,1,STEEL,STEEL,STEEL,NUT FOLLOWER,COUPLING,ABOVEGROUND,INSIDE,METER SET,UNAVAILABLE,EQUIPMENT,PULLED OUT
41542,2013,PA,"244 
",18840,8,6,1,COMBINATION PLASTIC AND STEEL,PLASTIC,PLASTIC,STAB,RISER,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,PERFECTION,MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH SEAL
1082,2016,NY,"21 
",10003,8,4,1,STEEL,PLASTIC,STEEL,BOLTED,COUPLING,BELOWGROUND,OUTSIDE,MAIN-TO-MAIN,"DRESSER (DRESSER MANUFACTURING, DRESSER PIPING SPECIALTIES)",INCORRECT OPERATION,LEAKED THROUGH SEAL
27131,2014,KY,"142 
",40202,8,4,1,COMBINATION PLASTIC AND STEEL,PLASTIC,STEEL,NUT FOLLOWER,RISER,ABOVEGROUND,OUTSIDE,METER SET,PERFECTION,INCORRECT OPERATION,LEAKED THROUGH SEAL
61631,2010,WA,"701 
",98009,8,4,1,PLASTIC,PLASTIC,PLASTIC,BOLTED,TAPPING TEE,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,RW LYALL,INCORRECT OPERATION,LEAKED THROUGH SEAL
56844,2010,GA,"321 
",30303,8,4,1,PLASTIC,PLASTIC,PLASTIC,BOLTED,SERVICE OR MAIN TEE,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,H AND H,INCORRECT OPERATION,LEAKED THROUGH BODY
38374,2013,NJ,"12 
",7719,8,4,1,STEEL,PLASTIC,STEEL,NUT FOLLOWER,TAPPING TEE,BELOWGROUND,OUTSIDE,MAIN-TO-MAIN,MUELLER,INCORRECT OPERATION,PULLED OUT
36,2017,AK,0.3048,99503,8,6,1,COMBINATION PLASTIC AND STEEL,PLASTIC,PLASTIC,OTHER COMPRESSION TYPE FITTING,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,METFIT,INCORRECT OPERATION,PULLED OUT
55911,2011,PA,"124 
",19612,8,6,1,PLASTIC,PLASTIC,PLASTIC,STAB,VALVE,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH SEAL
29862,2014,NC,"217 
",28056,8,4,1,PLASTIC,PLASTIC,PLASTIC,STAB,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH SEAL
24736,2014,OH,"223 
",43215,8,4,1,PLASTIC,PLASTIC,PLASTIC,STAB,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,INCORRECT OPERATION,LEAKED THROUGH SEAL
40892,2013,SC,"62 
",29033,8,6,1,PLASTIC,PLASTIC,PLASTIC,STAB,RISER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,INCORRECT OPERATION,LEAKED THROUGH SEAL
58791,2010,NJ,"12 
",7719,8,4,1,STEEL,PLASTIC,STEEL,NUT FOLLOWER,SERVICE OR MAIN TEE,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,UNAVAILABLE,INCORRECT OPERATION,LEAKED THROUGH SEAL
2970,2016,KY,"142 
",40202,8,6,1,COMBINATION PLASTIC AND STEEL,PLASTIC,STEEL,STAB,RISER,BELOWGROUND,OUTSIDE,METER SET,AMERICAN (AMERICAN METER; ELSTER AMERICAN METER),INCORRECT OPERATION,LEAKED THROUGH SEAL
43787,2012,GA,"285 
",30309,8,6,1,COMBINATION PLASTIC AND STEEL,PLASTIC,PLASTIC,STAB,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,EQUIPMENT,LEAKED THROUGH SEAL
10268,2016,ID,"578 
",99220,8,6,1,STEEL,STEEL,PLASTIC,NUT FOLLOWER,TAPPING TEE,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,CONTINENTAL (CONTINENTAL INDUSTRIES),INCORRECT OPERATION,LEAKED THROUGH SEAL
36153,2013,NY,"21 
",10003,8,6,1,BRASS,COPPER,COPPER,NUT FOLLOWER,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,"DRESSER (DRESSER MANUFACTURING, DRESSER PIPING SPECIALTIES)",EQUIPMENT,LEAKED THROUGH SEAL
1193,2015,NY,"21 
",10003,8,4,2,STEEL,CAST/WROUGHT IRON,PLASTIC,BOLTED,SERVICE OR MAIN TEE,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,OTHER,EQUIPMENT,LEAKED THROUGH SEAL
16071,2014,PA,"124 
",19612,8,4,2,PLASTIC,PLASTIC,PLASTIC,OTHER COMPRESSION TYPE FITTING,RISER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,OTHER OUTSIDE FORCE DAMAGE,LEAKED THROUGH BODY
38723,2012,IL,"259 
",60507,8,4,2,STEEL,PLASTIC,STEEL,OTHER COMPRESSION TYPE FITTING,ADAPTER,ABOVEGROUND,OUTSIDE,METER SET,UNKNOWN,EQUIPMENT,LEAKED THROUGH SEAL
